,train_id,subject,accuracy,correct,incorrect,error_rate,batch_size,epochs
119,29102024_121957,only-compound,"72,52747252747253",66,25,"27,472527472527474",30,10
120,29102024_122339,sentiment,"84,61538461538461",77,14,"15,384615384615385",30,10
121,29102024_122339,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
122,29102024_122339,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
123,29102024_122339,only-text,"83,51648351648352",76,15,"16,483516483516482",30,10
124,29102024_122339,only-year,"83,51648351648352",76,15,"16,483516483516482",30,10
125,29102024_122339,only-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
126,29102024_122747,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
127,29102024_122747,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
128,29102024_122747,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
129,29102024_122747,only-text,"78,02197802197803",71,20,"21,978021978021978",30,10
130,29102024_122747,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
131,29102024_122747,only-compound,"81,31868131868131",74,17,"18,681318681318682",30,10
132,29102024_123153,sentiment,"78,02197802197803",71,20,"21,978021978021978",30,10
133,29102024_123153,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
134,29102024_123153,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
135,29102024_123153,only-text,"82,41758241758241",75,16,"17,582417582417584",30,10
136,29102024_123153,only-year,"92,3076923076923",84,7,"7,6923076923076925",30,10
137,29102024_123153,only-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
138,29102024_123600,sentiment,"75,82417582417582",69,22,"24,175824175824175",30,10
139,29102024_123600,only-pos-neg-neu,"92,3076923076923",84,7,"7,6923076923076925",30,10
140,29102024_123600,only-year-compound,"95,6043956043956",87,4,"4,395604395604396",30,10
141,29102024_123600,only-text,"91,20879120879121",83,8,"8,791208791208792",30,10
142,29102024_123600,only-year,"96,7032967032967",88,3,"3,296703296703297",30,10
143,29102024_123600,only-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
144,29102024_123950,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
145,29102024_123950,only-pos-neg-neu,"81,31868131868131",74,17,"18,681318681318682",30,10
146,29102024_123950,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
147,29102024_123950,only-text,"79,12087912087912",72,19,"20,87912087912088",30,10
148,29102024_123950,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
149,29102024_123950,only-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
150,29102024_124348,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
151,29102024_124348,only-pos-neg-neu,"92,3076923076923",84,7,"7,6923076923076925",30,10
152,29102024_124348,only-year-compound,"89,01098901098901",81,10,"10,989010989010989",30,10
153,29102024_124348,only-text,"89,01098901098901",81,10,"10,989010989010989",30,10
154,29102024_124348,only-year,"91,20879120879121",83,8,"8,791208791208792",30,10
155,29102024_124348,only-compound,"89,01098901098901",81,10,"10,989010989010989",30,10
156,29102024_124726,sentiment,"84,61538461538461",77,14,"15,384615384615385",30,10
157,29102024_124726,only-pos-neg-neu,"90,10989010989012",82,9,"9,89010989010989",30,10
158,29102024_124726,only-year-compound,"91,20879120879121",83,8,"8,791208791208792",30,10
159,29102024_124726,only-text,"87,91208791208791",80,11,"12,087912087912088",30,10
160,29102024_124726,only-year,"81,31868131868131",74,17,"18,681318681318682",30,10
161,29102024_124726,only-compound,"80,21978021978022",73,18,"19,78021978021978",30,10
162,29102024_125108,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
163,29102024_125108,only-pos-neg-neu,"81,31868131868131",74,17,"18,681318681318682",30,10
164,29102024_125108,only-year-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
165,29102024_125108,only-text,"84,61538461538461",77,14,"15,384615384615385",30,10
166,29102024_125108,only-year,"86,81318681318682",79,12,"13,186813186813188",30,10
167,29102024_125108,only-compound,"81,31868131868131",74,17,"18,681318681318682",30,10
168,29102024_125441,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
169,29102024_125441,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
170,29102024_125441,only-year-compound,"86,81318681318682",79,12,"13,186813186813188",30,10
171,29102024_125441,only-text,"79,12087912087912",72,19,"20,87912087912088",30,10
172,29102024_125441,only-year,"86,81318681318682",79,12,"13,186813186813188",30,10
173,29102024_125441,only-compound,"81,31868131868131",74,17,"18,681318681318682",30,10
174,29102024_125815,sentiment,"90,10989010989012",82,9,"9,89010989010989",30,10
175,29102024_125815,only-pos-neg-neu,"74,72527472527473",68,23,"25,274725274725274",30,10
176,29102024_125815,only-year-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
177,29102024_125815,only-text,"75,82417582417582",69,22,"24,175824175824175",30,10
178,29102024_125815,only-year,"86,81318681318682",79,12,"13,186813186813188",30,10
179,29102024_125815,only-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
180,29102024_130148,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
181,29102024_130148,only-pos-neg-neu,"85,71428571428571",78,13,"14,285714285714285",30,10
182,29102024_130148,only-year-compound,"93,4065934065934",85,6,"6,593406593406594",30,10
183,29102024_130148,only-text,"87,91208791208791",80,11,"12,087912087912088",30,10
184,29102024_130148,only-year,"87,91208791208791",80,11,"12,087912087912088",30,10
185,29102024_130148,only-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
186,29102024_130519,sentiment,"78,02197802197803",71,20,"21,978021978021978",30,10
187,29102024_130519,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
188,29102024_130519,only-year-compound,"91,20879120879121",83,8,"8,791208791208792",30,10
189,29102024_130519,only-text,"78,02197802197803",71,20,"21,978021978021978",30,10
190,29102024_130519,only-year,"94,5054945054945",86,5,"5,4945054945054945",30,10
191,29102024_130519,only-compound,"80,21978021978022",73,18,"19,78021978021978",30,10
192,29102024_130851,sentiment,"82,41758241758241",75,16,"17,582417582417584",30,10
193,29102024_130851,only-pos-neg-neu,"84,61538461538461",77,14,"15,384615384615385",30,10
194,29102024_130851,only-year-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
195,29102024_130851,only-text,"78,02197802197803",71,20,"21,978021978021978",30,10
196,29102024_130851,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
197,29102024_130851,only-compound,"79,12087912087912",72,19,"20,87912087912088",30,10
198,29102024_131221,sentiment,"84,61538461538461",77,14,"15,384615384615385",30,10
199,29102024_131221,only-pos-neg-neu,"73,62637362637363",67,24,"26,373626373626376",30,10
200,29102024_131221,only-year-compound,"78,02197802197803",71,20,"21,978021978021978",30,10
201,29102024_131221,only-text,"70,32967032967034",64,27,"29,67032967032967",30,10
202,29102024_131221,only-year,"78,02197802197803",71,20,"21,978021978021978",30,10
203,29102024_131221,only-compound,"74,72527472527473",68,23,"25,274725274725274",30,10
204,29102024_131548,sentiment,"90,10989010989012",82,9,"9,89010989010989",30,10
205,29102024_131548,only-pos-neg-neu,"90,10989010989012",82,9,"9,89010989010989",30,10
206,29102024_131548,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
207,29102024_131548,only-text,"89,01098901098901",81,10,"10,989010989010989",30,10
208,29102024_131548,only-year,"90,10989010989012",82,9,"9,89010989010989",30,10
209,29102024_131548,only-compound,"91,20879120879121",83,8,"8,791208791208792",30,10
210,29102024_131917,sentiment,"83,51648351648352",76,15,"16,483516483516482",30,10
211,29102024_131917,only-pos-neg-neu,"79,12087912087912",72,19,"20,87912087912088",30,10
212,29102024_131917,only-year-compound,"93,4065934065934",85,6,"6,593406593406594",30,10
213,29102024_131917,only-text,"82,41758241758241",75,16,"17,582417582417584",30,10
214,29102024_131917,only-year,"89,01098901098901",81,10,"10,989010989010989",30,10
215,29102024_131917,only-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
216,29102024_132251,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
217,29102024_132251,only-pos-neg-neu,"83,51648351648352",76,15,"16,483516483516482",30,10
218,29102024_132251,only-year-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
219,29102024_132251,only-text,"80,21978021978022",73,18,"19,78021978021978",30,10
220,29102024_132251,only-year,"85,71428571428571",78,13,"14,285714285714285",30,10
221,29102024_132251,only-compound,"75,82417582417582",69,22,"24,175824175824175",30,10
222,29102024_132622,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
223,29102024_132622,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
224,29102024_132622,only-year-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
225,29102024_132622,only-text,"69,23076923076923",63,28,"30,76923076923077",30,10
226,29102024_132622,only-year,"85,71428571428571",78,13,"14,285714285714285",30,10
227,29102024_132622,only-compound,"73,62637362637363",67,24,"26,373626373626376",30,10
228,29102024_132957,sentiment,"86,81318681318682",79,12,"13,186813186813188",30,10
229,29102024_132957,only-pos-neg-neu,"86,81318681318682",79,12,"13,186813186813188",30,10
230,29102024_132957,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
231,29102024_132957,only-text,"84,61538461538461",77,14,"15,384615384615385",30,10
232,29102024_132957,only-year,"96,7032967032967",88,3,"3,296703296703297",30,10
233,29102024_132957,only-compound,"79,12087912087912",72,19,"20,87912087912088",30,10
234,29102024_133333,sentiment,"84,61538461538461",77,14,"15,384615384615385",30,10
235,29102024_133333,only-pos-neg-neu,"76,92307692307693",70,21,"23,076923076923077",30,10
236,29102024_133333,only-year-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
237,29102024_133333,only-text,"78,02197802197803",71,20,"21,978021978021978",30,10
238,29102024_133333,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
239,29102024_133333,only-compound,"78,02197802197803",71,20,"21,978021978021978",30,10
240,29102024_133714,sentiment,"73,62637362637363",67,24,"26,373626373626376",30,10
241,29102024_133714,only-pos-neg-neu,"80,21978021978022",73,18,"19,78021978021978",30,10
242,29102024_133714,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
243,29102024_133714,only-text,"80,21978021978022",73,18,"19,78021978021978",30,10
244,29102024_133714,only-year,"90,10989010989012",82,9,"9,89010989010989",30,10
245,29102024_133714,only-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
246,29102024_134048,sentiment,"86,81318681318682",79,12,"13,186813186813188",30,10
247,29102024_134048,only-pos-neg-neu,"81,31868131868131",74,17,"18,681318681318682",30,10
248,29102024_134048,only-year-compound,"91,20879120879121",83,8,"8,791208791208792",30,10
249,29102024_134048,only-text,"86,81318681318682",79,12,"13,186813186813188",30,10
