title,writers,text,year,neg,neu,pos,compound
The Pound is Sinking,Paul McCartney,"The pound is sinking, the peso's falling The lira's reeling and feeling quite appalling The mark is holding, the franc is fading The drachma's very weak, but everyone's still trading The market's bottom has fallen right out And only the strong are survivors [SEP*] Well, I fear, my dear, that it's eminently clear That you can't see the trees for the forest Your father was an extraordinary man But you don't seem to have inherited many of his mannerisms Oh, any of his mannerisms [SEP*] The dollar's moving, the ruble's rising The yen is keeping up, which hardly seems surprising The market's bottom has fallen right out And only the stout are survivors [SEP*] Hear me, my lover (Hear me lover) I can't be held responsible now (Oh no, it wasn't me) For something that didn't happen (I didn't do it anyway) I knew you for a minute Oh, it didn't happen only for a minute Your heart just wasn't in it anymore Mmm, hmm [SEP*] The pound is sinking, the peso's falling The lira's reeling and feeling quite appalling Ooh, ooh, ooh [SEP*]",1982,0.129,0.744,0.127,0.1172
Make You Feel My Love,Bob Dylan,"When the rain is blowing in your face And the whole world is on your case I could offer you a warm embrace To make you feel my love[SEP*] When the evening shadows and the stars appear And there is no one there to dry your tears I could hold you for a million years To make you feel my love[SEP*] I know you haven't made your mind up yet But I would never do you wrong I've known it from the moment that we met No doubt in my mind where you belong[SEP*] I'd go hungry, I'd go black and blue I'd go crawling down the avenue No, there's nothing that I wouldn't do To make you feel my love[SEP*] The storms are raging on the rolling sea And on the highway of regret The winds of change are blowing wild and free You ain't seen nothing like me yet[SEP*] I could make you happy, make your dreams come true Nothing that I wouldn't do Go to the ends of the Earth for you To make you feel my love",1997,0.094,0.71,0.196,0.9751
Downbound Train,Bruce Springsteen,"I had a job, I had a girl I had something going, mister, in this world I got laid off down at the lumber yard Our love went bad, times got hard[SEP*] Now I work down at the carwash Where all it ever does is rain Don't you feel like you're a rider On a downbound train?[SEP*] She just said, ""Joe, I gotta go We had it once, we ain't got it any more"" She packed her bags, left me behind She bought a ticket on the Central Line[SEP*] Nights as I sleep, I hear that whistle whining I feel her kiss in the misty rain And I feel like I'm a rider On a downbound train[SEP*] Last night, I heard your voice You were cryin', cryin', you were so alone You said your love had never died You were waiting for me at home[SEP*] Put on my jacket, I ran through the woods I ran 'til I thought my chest would explode There in the clearing, beyond the highway In the moonlight, our wedding house shone[SEP*] I rushed through the yard, I burst through the front door My head pounding hard, up the stairs I climbed The room was dark, our bed was empty Then I heard that long whistle whine And I dropped to my knees, hung my head and cried[SEP*] Now I swing a sledge hammer on a railroad gang Knocking down them cross ties, working in the rain Now don't it feel like you're a rider On a downbound train?",1984,0.099,0.844,0.057,-0.6465
On My Way To Work,Paul McCartney,"When your body is coming apart at the seams And the whole thing's feeling low You're convincing yourself That there's nobody there, I know I know how you feel [SEP*] Like somebody has taken the wheels off your car When you had somewhere to go Well, it's annoying Not going to get very far, I know [SEP*] But somebody cares There's always someone, somewhere, you should know by now Always somebody who cares [SEP*] It's happening day in, day out Well, you know by now Always somebody who cares And if you don't know it, how will it find you? How will we know your whereabouts? [SEP*] But I know how you feel I know how you feel [SEP*] Like somebody has taken the wheels off your car When you had somewhere to go Well, it's frustrating Not going to get very far, I know [SEP*] But somebody cares There's always someone, somewhere, you should know by now Always somebody who cares [SEP*] It's happening day in, day out Well, you know by now Always somebody who cares And if you don't know it, how will it find you? How will we know your whereabouts? [SEP*] But I know how you feel [SEP*]",2013,0.033,0.773,0.194,0.9875
If Not for You,Bob Dylan,"If not for you Babe, I couldn't find the door Couldn't even see the floor I'd be sad and blue If not for you[SEP*] If not for you Babe, I'd lay awake all night Wait for the mornin' light To shine in through But it would not be new If not for you[SEP*] If not for you My sky would fall Rain would gather too Without your love I'd be nowhere at all I'd be lost if not for you And you know it's true[SEP*] If not for you My sky would fall Rain would gather too Without your love I'd be nowhere at all Oh! What would I do If not for you[SEP*] If not for you Winter would have no spring Couldn't hear the robin sing I just wouldn't have a clue Anyway it wouldn't ring true If not for you",1970,0.11,0.843,0.047,-0.8688
Cover Me,Bruce Springsteen,"The times are tough now, just getting tougher This old world is rough, it's just getting rougher Cover me, come on baby, cover me Well, I'm looking for a lover who will come on in and cover me [SEP*] Now, promise me baby, you won't let them find us Hold me in your arms, let's let our love blind us Cover me, shut the door and cover me Well, I'm looking for a lover who will come on in and cover me [SEP*] Outside's the rain, the driving snow I can hear the wild wind blowing Turn out the light, bolt the door I ain't going out there no more [SEP*] This whole world is out there just trying to score I've seen enough, I don't want to see any more Cover me, come on in and cover me I'm looking for a lover who will come on in and cover me [SEP*] Outside's the rain, the driving snow I can hear the wild wind blowing Turn out the light, bolt the door I ain't going out there no more [SEP*] This whole world is out there just trying to score I've seen enough, I ain't gonna see any more Cover me, wrap your arms around me, cover me [SEP*] Well, I'm looking for a lover who will come on in and cover me Oh, I'm looking for a lover who will come on in and cover me Yeah, I'm looking for a lover who will come on in and cover me Come on baby Come on baby Come on baby Come on baby",1984,0.035,0.822,0.142,0.9844
What Was It You Wanted,Bob Dylan,What was it you wanted Tell me again so I'll know What's happening in there What's going on in your show What was it you wanted Could you say it again I'll be back in a minute You can get it together by then[SEP*] What was it you wanted You can tell me I'm back We can start it all over Get it back on the track You got why attention Go ahead speak What was it you wanted When you were kissing my cheek[SEP*] Was there somebody looking When you gave me that kiss Someone there in the shadows Someone that I might have missed Is there something you needed Something I don't understand What was it you wanted Do I have it in my hand[SEP*] Whatever you wanted Slipped out of my mind Would you remind me again If you'd be so kind Has the record been breaking Did the needle just skip Is there somebody waitin' Was there a slip of the lip[SEP*] What was it you wanted I ain't keepin' score Are you the same person That was here before Is it something important Maybe not What was it you wanted Tell me again I forgot[SEP*] Whatever you wanted What can it be Did somebody tell you That you could get it from me Is it something that comes natural Is it easy to say Why do you want it Who are you anyway[SEP*] Is the scenery changing Am I getting it wrong Is the whole thing going backwards Are they playing our song Where were you when it started Do you want it for free What was it you wanted Are you talking to me,1989,0.018,0.883,0.099,0.9669
Absolute Beginners,David Bowie,I've nothing much to offer There's nothing much to take I'm an absolute beginner And I'm absolutely sane [SEP*] As long as we're together The rest can go to hell I absolutely love you But we're absolute beginners [SEP*] With eyes completely open But nervous all the same If our love song Could fly over mountains [SEP*] Could laugh at the ocean Just like the films There's no reason To feel all the hard times [SEP*] To lay down the hard lines It's absolutely true Nothing much could happen [SEP*] Nothing we can't shake Oh we're absolute beginners With nothing much at stake [SEP*] As long as you're still smiling There's nothing more I need I absolutely love you But we're absolute beginners [SEP*] But if my love is your love We're certain to succeed [SEP*] If our love song Could fly over mountains Sail over heartaches Just like the films [SEP*] If there's reason To feel all the hard times To lay down the hard lines It's absolutely true,1986,0.077,0.626,0.297,0.9958
The Buddha of Suburbia,David Bowie,"Living in lies by the railway line Pushing the hair from my eyes Elvis is English and climbs the hills Can't tell the bullshit from the lies[SEP*] Screaming along in South London Vicious, but ready to learn Sometimes I fear that the whole world is queer Sometimes, but always in vain[SEP*] So I'll wait until we're sane Wait until we're blessed and all the same Full of blood, loving life and all it's got to give Englishmen going insane[SEP*] Down on my knees in suburbia Down on myself in every way[SEP*] With great expectations I change all my clothes Mustn't grumble at silver and gold Screaming above Central London Never bored, so I'll never get old[SEP*] So I'll wait until we're sane Wait until we're blessed and all the same Full of blood, loving life and all it's got to give Englishmen going insane[SEP*] Down on my knees in suburbia Down on myself in every way",1993,0.131,0.694,0.175,0.9288
Better Days,Bruce Springsteen,"Well, my soul checked out missing as I sat listening To the hours and minutes tickin' away Yeah, just sittin' 'round waitin' for my life to begin While it was all just slippin' away [SEP*] Well, I'm tired of waitin' for tomorrow to come For that train to come roarin' 'round the bend I got a new suit of clothes and a pretty red rose A woman I can call my friend [SEP*] These are better days, baby Yeah, there's better days shining through These are better days, baby Better days with a girl like you [SEP*] Well, I took a piss at fortune's sweet kiss It's like eatin' caviar and dirt It's sad, funny ending to find yourself pretending A rich man in a poor man's shirt [SEP*] Now my ass was draggin' when from a passin' gypsy wagon Your heart like a diamond shone Tonight I'm layin' in your arms, carvin' lucky charms Out of these hard-luck bones [SEP*] These are better days, baby These are better days, it's true These are better days, baby There's better days shining through [SEP*] Now a life of leisure and a pirate's treasure Don't make much for tragedy But it's a sad man, my friend, who's livin' in his own skin And can't stand the company [SEP*] Every fool's got a reason for feelin' sorry for himself And turning his heart to stone Tonight this fool's halfway to heaven and just a mile outta hell And I feel like I'm comin' home [SEP*] These are better days, baby There's better days shining through These are better days, baby Better days with a girl like you [SEP*] These are better days, baby These are better days, it's true These are better days, baby Better days are shining through [SEP*] These are better days, baby These are better days, it's true These are better days, baby Better days are shining through [SEP*] These are better days, baby These are better days, baby Better days are shining through These are better days These are better days Better days are shining through",1992,0.066,0.596,0.338,0.9986
Growin' Up,Bruce Springsteen,"Well I stood stone-like at midnight Suspended in my masquerade And I combed my hair 'til it was just right And commanded the night brigade[SEP*] I was open to pain And crossed by the rain And I walked on a crooked crutch I strolled all alone Through a fallout zone Came out with my soul untouched[SEP*] I hid in the clouded wrath of the crowd When they said, ""Sit down, "" I stood up Ooh-ooh, growin' up[SEP*] And the flag of piracy flew from my mast My sails were set wing to wing I had a jukebox graduate for first mate She couldn't sail but she sure could sing[SEP*] And I pushed B-52 And bombed 'em with the blues With my gear set stubborn on standing I broke all the rules Strafed my old high school Never once gave thought to landing[SEP*] I hid in the clouded warmth of the crowd But when they said, ""Come down, "" I threw up Ooh-ooh, growin' up[SEP*] I took month long vacations in the stratosphere And you know it's really hard to hold your breath Swear I lost everything I ever loved or feared I was a cosmic kid in full costume dress[SEP*] Well, my feet they finally took root in the earth But I got me a nice little place in the stars And I swear I found the key to the universe In the engine of an old parked car[SEP*] I hid in the mother breast of the crowd When they said, ""Pull down, "" I pulled up Ooh-ooh, growin' up Ooh-ooh, growin' up",1973,0.119,0.804,0.076,-0.533
What Good Am I?,Bob Dylan,"What good am I if I'm like all the rest, If I just turned away, when I see how you're dressed, If I shut myself off so I can't hear you cry, What good am I?[SEP*] What good am I if I know and don't do, If I see and don't say, if I look right through you, If I turn a deaf ear to the thunderin' sky, What good am I?[SEP*] What good am I while you softly weep And I hear in my head what you say in your sleep, And I freeze in the moment like the rest who don't try, What good am I?[SEP*] What good am I then to others and me If I've had every chance and yet still fail to see[SEP*] If my hands tied must I not wonder within Who tied them and why and where must I have been[SEP*] What good am I if I say foolish things And I laugh in the face of what sorrow brings And I just turn my back while you silently die, What good am I?",1989,0.084,0.707,0.209,0.9675
Talk More Talk,Paul McCartney,"A master can highlight the phrases, Sleasy instruments, half talked, half baked ideas... Dad, you didn't say O.K.... The window was open, outside was a spaceship, (A master can highlight the phrases) It took off into the sky Leaving a trail of smoke behind it... [SEP*] Short of the standard. Was it the sun? What was rehearsal? Conventional drum? Not quite a hundred. Less than a ton. Clearly the time came, the plan had begun. [SEP*] With talk, more talk. Chat, more chat. Words of a feather are worn in a hat. Talk, more talk. Chat, more chat. I'm happy to do it for you... [SEP*] Developed since earlier days at the school Cheapest sensations were used as a rule. Outstanding to memory, major free flow. Bio-degradable, look out below for... [SEP*] Talk, more talk, oh I love to hear the gentle sound Of conversation sprinkled around A room where I can be at one with you for... [SEP*] Talk, more talk. Chat, more chat, Words of a feather are worn in a hat. Talk, more talk. Chat, more chat. Happy to do it for you... [SEP*] I'm happy to do it for you... I'm happy to do it for you, I'm happy to do it, I'm happy to do it... I'm happy to do it for you. [SEP*] Digital organ, finishing stretch, Instrumentation, analogue Gretsch. Not quite a thousand, lower than that. Possible bargain for listening at that... [SEP*] Talk, more talk. Chat, more chat. Words of a feather are worn in a hat. Talk, more talk. Chat, more chat. I'm happy to do it for you... [SEP*] All you want is a handyman and all you want is quick service. Because I'm a house owner. I'm a house owner. It may be worth something someday. [SEP*] I hear water going through the pipes. I don't actually like sitting down music. Music is idea. [SEP*] Talk, more talk. Chat, more chat. Words of a feather are worn in a hat. Talk, more talk. Chat, more chat. [SEP*] A master can tell, highlight the phrases his words to digress Grey flannel trousers... Grey flannel trousers. A blazer and grey flannel trousers. [SEP*]",1986,0.029,0.788,0.183,0.995
Spies Like Us,Paul McCartney,"Ooh ooh what do you do No one else can dance like you So what's all the fuss There ain't nobody that spies like us [SEP*] Hey hey what do you say Someone took your plans away So what's all the fuss There ain't nobody that spies like us [SEP*] Hey don't feel afraid Of an undercover aid There's no need to fuss There ain't nobody that spies like us [SEP*] Spies like us We don't know the meaning of fear We play every minute by year [SEP*] One for all and all for one Everybody's on the run Especially at this time of year [SEP*] Ooh ooh what do you do No one else can dance like you So what's all the fuss There ain't nobody got spies like us [SEP*] Hey hey what do you say No one else can look that way So what's all the fuss There ain't nobody that spies like us [SEP*] We get there by hook or by crook We don't do a thing by the book [SEP*] Never needed special clothes How we did it no one knows I guess we must have had what it took [SEP*] Ooh ooh, ooh Oh when things get tough (Oh when things get tough) Guys like us act rough (Guys like us act rough) [SEP*] Hey hey what do you say Someone took your plans away So what's all the fuss There ain't nobody that spies like us [SEP*] Spies like us",1985,0.068,0.809,0.123,0.9252
Bring Me the Disco King,David Bowie,"You promised me the ending would be clear You'd let me know when the time was now Don't let me know when you're opening the door Stab me in the dark, let me disappear[SEP*] Memories that flutter like bats out of Hell Stab you from the city spire Life wasn't worth the balance Or the crumpled paper it was written on Don't let me know we're invisible Don't let me know we're invisible[SEP*] Hot cash days that you trailed around Cold, cold nights under chrome and glass Led me down a river of perfumed limbs Sent me to the street with the good time girl[SEP*] Don't let me know we're invisible Don't let me know we're invisible We could dance, dance, dance through the fire Dance, dance, dance through the fire[SEP*] Feed me no lies I don't know about you, I don't know about you Breathe through the years I don't know about you, I don't know about you Bring me the Disco King I don't know about you, I don't know about you Dead or alive[SEP*] Bring me the Disco King, bring me the Disco King Bring me the Disco King, bring me the Disco King[SEP*] Spin-offs with those who slept like corpses Damp morning rays in the stiff bad clubs Killing time in the 70's Smelling of love through the moist wind[SEP*] Don't let me know when you're opening the door Close me in the dark, let me disappear Soon there'll be nothing left of me Nothing left to release[SEP*] Dance, dance, dance through the fire Dance, dance, dance through the fire[SEP*] Feed me no lies I don't know about you, I don't know about you Breathe through the years I don't know about you, I don't know about you Bring me the Disco King I don't know about you, I don't know about you Dead or alive",2003,0.155,0.781,0.065,-0.984
Death to My Hometown,Bruce Springsteen,"[SEP*] Oh, no cannonballs did fly, no rifles cut us down No bombs fell from the sky, no blood soaked the ground No powder flash blinded the eye, no deathly thunder sound But just as sure as the hand of God, they brought death to my hometown They brought death to my hometown[SEP*] No shells ripped the evening sky, no cities burning down No armies stormed the shores for which we'd die No dictators were crowned I awoke from a quite night, I never heard a sound Marauders raided in the dark and brought death to my hometown, buys Death to my hometown[SEP*] They destroyed our families' factories and they took our homes They left our bodies on the plains, the vultures picked our bones[SEP*] So listen up, my sonny boy, be ready for when they come For they'll be returning sure as the rising sun Now get yourself a song to sing and sing it 'til you're done Yeah, sing it hard and sing it well[SEP*] Send the robber barons straight to hell The greedy thieves who came around And ate the flesh of everything they found Whose crimes have gone unpunished now Who walk the streets as free men now[SEP*] Ah, they brought death to our hometown, boys Death to our hometown, boys Death to our hometown, boys Death to our hometown, whoa!",2012,0.318,0.591,0.092,-0.9972
Stand on It,Bruce Springsteen,"Well, Jimmy Lee was hookin' 'round the far Turn of a funky southern Florida dirt track He had mud caked on his goggles And a screamin' 350 stacked up on his back Well, as he passed the stands, he's feelin' all tuckered out Down through the roar of his engine, he heard somebody shout ""Stand on it, c'mon boy, stand on it""[SEP*] Mary Beth started to drift She hit the shift but she just couldn't get a hand on it Racin' some Red Hill boys She had the deed to the ranch and a grand on it With eight grand blowin' hot on the red line She blew past a hitchhiker out on Route 39 He hollered, ""Stand on it, go 'head baby, stand on it""[SEP*] Well, now when in doubt and you can't figure it out Just stand on it Well, if your mind's confused You don't know what you're gonna do Well buddy, stand on it Well, if you've lost control of the situation at hand Go grab a girl, go see a rock and roll band And stand on it Come on man, stand on it[SEP*] Well, now Columbus he discovered America Even though he hadn't planned on it He got lost and woke up one morning when he's about to land on it He wouldn't of got out of Italy, man, that's for sure Without Queen Isabella standing on the shore Shouting ""Stand on it, go ahead man, stand on it""[SEP*] Yeah, well, when in doubt and you can't figure it out Buddy, stand on it Well, if your mind's confused You don't know what you're gonna do Then buddy, stand on it Well, if you've lost control of the situation at hand Go grab a girl, go see a rock and roll band And stand on it C'mon man, stand on it[SEP*] Bobby was leadin' the pack He settled back and he got ready for the long haul Well, fifty yards from the finish line Somebody roared up and they blew him into the wall Well, he rolled over twice, lucky to survive Layin' in the back of the ambulance, more dead than alive Somebody shouted, ""Man, you call that drivin'? Why didn't you stand on it?""[SEP*] Oh, stand on it C'mon boy, stand on it C'mon man, stand on it C'mon boy, stand on it C'mon, let's stand on it C'mon man, stand on it C'mon, let's stand on it",2014,0.089,0.793,0.118,0.8907
Pretty Thing,David Bowie,"You pretty thing Let me buy you a wedding ring Let me hear the choir sing Oh, you pretty thing[SEP*] You pretty thing Let me walk you down the aisle Darling, wear a lovely smile Oh, you pretty thing[SEP*] Let me kiss you gentle Squeeze and hold you tight Let me give all my love The rest of my life[SEP*] You pretty thing Let me hold you by my side And become my blushing bride You pretty thing[SEP*] Pretty thing Let me dedicate my life You will always be my wife Oh, you pretty thing[SEP*]",1971,0.0,0.634,0.366,0.9926
Out in the Street,Bruce Springsteen,"Put on your best dress baby And darlin', fix your hair up right 'Cause there's a party, honey Way down beneath the neon lights All day you've been working that hard line Now tonight you're gonna have a good time[SEP*] I work five days a week girl Loading crates down on the dock I take my hard earned money And meet my girl down on the block And Monday when the foreman calls time I've already got Friday on my mind[SEP*] When that whistle blows Girl, I'm down the street I'm home, I'm out of my work clothes When I'm out in the street, oh oh oh oh oh I walk the way I want to walk When I'm out in the street, oh oh oh oh oh I talk the way I want to talk When I'm out in the street When I'm out in the street[SEP*] When I'm out in the street, girl Well, I never feel alone When I'm out in the street, girl In the crowd I feel at home The black and whites they cruise by And they watch us from the corner of their eye[SEP*] But there ain't no doubt girl, down here We ain't gonna take what they're handing out When I'm out in the street, oh oh oh oh oh I walk the way I want to walk When I'm out in the street, oh oh oh oh oh I talk the way I want to talk Baby, out in the street I don't feel sad or blue Baby, out in the street I'll be waiting for you[SEP*] When the whistle blows Girl, I'm down the street I'm home, I'm out of my work clothes When I'm out in the street, oh oh oh oh oh I walk the way I want to walk When I'm out in the street, oh oh oh oh oh I talk the way I want to talk[SEP*] When I'm out in the street, oh oh oh oh oh Pretty girls, they're all passing by When I'm out in the street, oh oh oh oh oh From the corner, we give them the eye[SEP*] Baby, out in the street I just feel all right Meet me out in the street, little girl, tonight Yeah, meet me out in the street Meet me out in the street, woah oh Ah, meet me out in the street Oh meet me out in the street Oh meet me out in the street Meet me out in the street Oh darlin' out in the street Meet me out in the street Oh, meet me out in the street Meet me out in the street Oh darlin' out in the street",1980,0.01,0.917,0.073,0.9687
Independence Day,Bruce Springsteen,"Well Papa, go to bed now, it's getting late Nothing we can say is gonna change anything now I'll be leaving in the morning from St. Mary's Gate We wouldn't change this thing even if we could somehow[SEP*] 'Cause the darkness of this house has got the best of us There's a darkness in this town that's got us too But they can't touch me now and you can't touch me now They ain't gonna do to me what I watched them do to you[SEP*] So say goodbye, it's Independence Day It's Independence Day all down the line Just say goodbye, it's Independence Day It's Independence Day this time[SEP*] Now I don't know what it always was with us We chose the words, and yeah, we drew the lines There was just no way this house could hold the two of us I guess that we were just too much of the same kind[SEP*] Well say goodbye, it's Independence Day It's Independence Day, all boys must run away So say goodbye, it's Independence Day All men must make their way come Independence Day[SEP*] Now the rooms are all empty down at Frankie's joint And the highway she's deserted clear down to Breaker's Point There's a lot of people leaving town now, leaving their friends, their homes At night, they walk that dark and dusty highway all alone[SEP*] Well Papa, go to bed now, it's getting late Nothing we can say can change anything now 'Cause there's just different people coming down here now and they see things in different ways And soon everything we've known will just be swept away[SEP*] So say goodbye, it's Independence Day Papa, now I know the things you wanted that you could not say But won't you just say goodbye? It's Independence Day I swear I never meant to take those things away",2014,0.037,0.888,0.076,0.9393
It's Not True,Paul McCartney,"Some people say she's a bad girl Some people think she's a fool Some people tell me she's no good But I'm telling you It's not true, it's not true, it's not true [SEP*] They say that my girl's a mad girl No saying what she might do Some people tell me she's crazy But I'm telling you It's not true, it's not true, it's not true [SEP*] Ooh...ooh...ooh...They've been talking to the fellas Ooh...ooh...ooh...Have they never heard of jealousy? Ooh...ooh...ooh...If she helps me write the melody I'll let the words take care of themselves. [SEP*] It's not true, it's not true, it's not true It's not true, it's not true, it's not true [SEP*] Ooh...ooh...ooh...They've been talking to the fellas Ooh...ooh...ooh...Have they never heard of jealousy? Ooh...ooh...ooh...If she helps me write the memories I'll let the words take care of themselves. [SEP*] Some people say she's a loser Some people tell me that she's through Some people say I don't love her But I'm telling you It's not true, it's not true, it's not true [SEP*] What they're saying about her isn't true Don't you know it isn't true? It's not true... [SEP*]",1986,0.308,0.603,0.089,-0.9944
Bombers,David Bowie,"All clear, wail the sirens Sunshine on the wasteland Old man sitting in the white sand I think we're in for a big surprise Right between the eyes [SEP*] Seemed a good idea To drop a bomb on the wasteland here Only one guy could be seen And he was old and so serene [SEP*] So the general sat in his deck chair And the red light flashed, beware And the pilot felt quite big-time As the bomb sailed through the air [SEP*] Now the captain sang and sang As the bang went bang But their eyes popped out When the smoke began to clear It was positively queer [SEP*] All clear, wail the sirens Sunshine on the wasteland Old man sitting in the white sand Think we're in for a big surprise Right between the eyes [SEP*] ""Die,"" said the General ""Cobblers,"" said the man So the Pentagon sent a cable And the Queen a telegram [SEP*] A-bombs, H-bombs, even very small ones Ripped apart that sand 'Til the stench was just revolting And the sky a greenish tan [SEP*] But the soldier said ""Sir There's a crack in the world"" And the rivers went ""Splash"" And the bits flew far and wide As the universe sighed [SEP*] All clear, wail the sirens Sunshine on the wasteland Old man sitting in the white sand Think we're in for a big surprise Right between the eyes [SEP*] All clear, wail the sirens Sunshine on the wasteland Old man sitting in the white sand Think we're in for a big surprise Right between the eyes [SEP*] When the smoke had blown away There was nothing left to view Except a man, dear Lord, who looked like you Floating high up in the sky",1971,0.033,0.79,0.177,0.9924
Blue Jean,David Bowie,"Blue Jean, I just met a girl named Blue Jean Blue Jean, she got a camouflaged face and no money Remember they always let you down when you need 'em Oh, Blue Jean, is heaven any sweeter than Blue Jean? She got a police bike, she got a turned up nose Sometimes I feel like (oh, the whole human race) Jazzin' for Blue Jean (oh, and when my Blue Jean's blue) Blue Jean can send me (oh, somebody send me) Somebody send me (oh, somebody send me) [SEP*] One day I'm gonna write a poem in a letter One day I'm gonna get that faculty together Remember that everybody has to wait in line For Blue Jean, look out world you know I've got mine She got Latin roots, she got everything Sometimes I feel like (oh, the whole human race) Jazzin' for Blue Jean (oh, and when my Blue Jean's blue) Blue Jean can send me (oh, somebody send me) Somebody send me (oh, somebody send me) [SEP*] Sometimes I feel like (oh, the whole human race) Jazzin' for Blue Jean (oh, and when my Blue Jean's blue) Blue Jean can send me (oh, somebody send me) Somebody send me (oh, somebody send me) [SEP*] Sometimes I feel like (oh, the whole human race) Jazzin' for Blue Jean (oh, and when my Blue Jean's blue) Blue Jean can send me (oh, somebody send me) Somebody send me (oh, somebody send me) Somebody, somebody (oh, somebody send me) Somebody send me (oh, somebody send me)",1984,0.009,0.938,0.053,0.8779
Born to Run,Bruce Springsteen,"In the day we sweat it out on the streets Of a runaway American dream At night we ride through the mansions of glory In suicide machines Sprung from cages on Highway 9 Chrome wheeled, fuel injected, and steppin' out over the line Oh, baby this town rips the bones from your back It's a death trap, it's a suicide rap We gotta get out while we're young 'Cause tramps like us, baby, we were born to run Yes, girl, we were[SEP*] Wendy, let me in, I wanna be your friend I wanna guard your dreams and visions Just wrap your legs 'round these velvet rims And strap your hands 'cross my engines Together we could break this trap We'll run 'til we drop, baby, we'll never go back Oh, will you walk with me out on the wire? 'Cause, baby, I'm just a scared and lonely rider But I gotta know how it feels I want to know if love is wild Babe, I want to know if love is real Oh, can you show me[SEP*] Beyond the Palace, hemi-powered drones Scream down the boulevard Girls comb their hair in rearview mirrors And the boys try to look so hard The amusement park rises bold and stark Kids are huddled on the beach in the mist I wanna die with you, Wendy, on the street tonight In an everlasting kiss[SEP*] The highway's jammed with broken heroes On a last chance power drive Everybody's out on the run tonight But there's no place left to hide Together, Wendy, we can live with the sadness I'll love you with all the madness in my soul Oh, someday, girl, I don't know when We're gonna get to that place Where we really wanna go and we'll walk in the sun But 'til then, tramps like us Baby, we were born to run[SEP*] Oh honey, tramps like us Baby, we were born to run Come on with me, tramps like us Baby, we were born to run",1975,0.114,0.731,0.155,0.9524
Wanderlust,Paul McCartney,"Light out Wanderlust Head us out to sea Captain says there'll be a bust This one's not for me [SEP*] Take us from the dark Out where we can see Captain's out to make his mark This one's not to be [SEP*] Light out Wanderlust Help us to be free Light out Wanderlust Do it just for me Wanderlust [SEP*] Oh, where did I go wrong, my love? What petty crime was I found guilty of? What better time to find a brand new day? Oh - Wanderlust away [SEP*] Light out Wanderlust Help us to be free Light out Wanderlust Do it just for me Wanderlust [SEP*] Captain's out to make his mark This one's not to be [SEP*] Light out wanderlust (Oh where did I go wrong, my love?) Head us out to sea (What petty crime was I found guilty of?) Captain says there'll be a bust (What better time to find a brand new day?) This one's not for me (Oh - wanderlust away) [SEP*] Dropping a line Maybe this time It's wanderlust for me [SEP*]",1982,0.122,0.763,0.115,0.3736
Point Blank,Bruce Springsteen,"Do you still say your prayers, little darling? Do you go to bed at night Praying that tomorrow Everything will be alright? But tomorrows fall in number In number one by one You wake up and you're dying You don't even know what from[SEP*] Well, they shot you point blank You been shot in the back Baby, point blank You been fooled this time, little girl, that's a fact Right between the eyes Baby, point blank Right between the pretty lies that they tell Little girl, you fell[SEP*] You grew up where young girls, they grow up fast You took what you were handed and left behind what was asked But what they asked, baby, wasn't right You didn't have to live that life And I was gonna be your Romeo, you were gonna be my Juliet These days you don't wait on Romeos, you wait on that welfare check And on all the pretty little things that you can never have And all the promises[SEP*] That always end up point blank Shot between the eyes Whoa, point blank Like little white lies you tell to ease the pain You're walking in the sights Girl, point blank And it's one false move And baby, the lights go out[SEP*] Once I dreamed we were together again Baby, you and me Back home in those old clubs The way we used to be We were standing at the bar and it was hard to hear The band was playing loud and you were shouting something in my ear You pulled my jacket off and as the drummer counted four You grabbed my hand and pulled me out on the floor[SEP*] You just stood there and held me, then you started dancing slow And as I pulled you tighter I swore I'd never let you go Well, I saw you last night down on the avenue Your face was in the shadows, but I knew that it was you You were standing in the doorway out of the rain You didn't answer when I called out your name You just turned, and then you looked away Like just another stranger waiting to get blown away[SEP*] Point blank Right between the eyes Whoa (Baby), point blank Right between the pretty lies You fell, point blank Shot straight through the heart Yeah, point blank You've been twisted up 'til you've become just another part of it[SEP*] Point blank You're walking in the sights Point blank Living one false move, just one false move away (Point blank) They caught you in their sights (Oh) Point blank Did you forget how to love? Girl, did you forget how to fight? (Point blank) They must have shot you in the head 'Cause point blank Bang bang, baby, you're dead",1978,0.067,0.82,0.113,0.9664
